nome_municipio,sigla_uf,nome_regiao,taxa_prevista,meta,total_alunos,taxa_prevista_pct,gap_meta,em_risco
Bagre,PA,Norte,0.49298483,52.12,29,49.298485,-2.8215151977539037,True
Uibaí,BA,Nordeste,0.37180954,40.0,8,37.180954,-2.8190460205078125,True
Apucarana,PR,Sul,0.7718204,80.0,122,77.182045,-2.8179550170898438,True
Pongaí,SP,Sudeste,0.77184266,80.0,3,77.184265,-2.81573486328125,True
Bom Conselho,PE,Nordeste,0.6047568,63.29,39,60.475677,-2.814322509765624,True
Cachoeira Dourada,MG,Sudeste,0.77186465,80.0,1,77.18646,-2.81353759765625,True
São Pedro dos Ferros,MG,Sudeste,0.77199924,80.0,5,77.19992,-2.800079345703125,True
São José do Ouro,RS,Sul,0.6262092,65.42,3,62.62092,-2.7990817260742205,True
Joinville,SC,Sul,0.6544008,68.23,565,65.44008,-2.7899212646484415,True
Piraúba,MG,Sudeste,0.72751576,75.54,15,72.75158,-2.7884207153320375,True
Barão de Melgaço,MT,Centro-Oeste,0.60553,63.34,10,60.553,-2.7869985961914097,True
Concórdia,SC,Sul,0.7415504,76.94,94,74.15504,-2.7849630737304665,True
Curiúva,PR,Sul,0.7721958,80.0,24,77.21958,-2.7804183959960938,True
Sengés,PR,Sul,0.7722173,80.0,21,77.221725,-2.7782745361328125,True
Tucano,BA,Nordeste,0.3334369,36.12,41,33.34369,-2.7763110351562474,True
Chapadinha,MA,Nordeste,0.49689373,52.46,69,49.689373,-2.770626983642579,True
Escada,PE,Nordeste,0.5597602,58.74,46,55.97602,-2.7639791870117207,True
Ponte Alta do Norte,SC,Sul,0.6393633,66.7,8,63.93633,-2.7636711120605497,True
Iacanga,SP,Sudeste,0.7725385,80.0,5,77.253845,-2.74615478515625,True
Sento Sé,BA,Nordeste,0.30879122,33.62,45,30.879122,-2.7408782196044896,True
Itatiaiuçu,MG,Sudeste,0.7083624,73.57,16,70.83624,-2.733757324218743,True
Areado,MG,Sudeste,0.694802,72.21,17,69.4802,-2.7297982788085875,True
Carrancas,MG,Sudeste,0.691613,71.89,3,69.1613,-2.728699340820313,True
Oiapoque,AP,Norte,0.3057167,33.3,40,30.571669,-2.7283313751220675,True
Uruçuca,BA,Nordeste,0.34372443,37.1,13,34.372444,-2.72755584716797,True
Jundiaí,SP,Sudeste,0.6821285,70.94,153,68.21285,-2.727147521972654,True
Nova Palmeira,PB,Nordeste,0.60113424,62.84,2,60.113422,-2.7265776062011753,True
Barras,PI,Nordeste,0.5699807,59.72,63,56.99807,-2.721930236816405,True
Camaquã,RS,Sul,0.5943845,62.16,60,59.43845,-2.721550140380856,True
Macieira,SC,Sul,0.7728048,80.0,4,77.28048,-2.7195205688476562,True
Camaçari,BA,Nordeste,0.3771366,40.43,285,37.713657,-2.716342620849609,True
Parapuã,SP,Sudeste,0.7353546,76.25,5,73.53546,-2.71453857421875,True
Rondon,PR,Sul,0.6756744,70.28,11,67.56744,-2.7125637817382824,True
Fazenda Rio Grande,PR,Sul,0.6794256,70.65,207,67.94256,-2.707441711425787,True
Casimiro de Abreu,RJ,Sudeste,0.56391317,59.09,51,56.391315,-2.6986845397949253,True
Itauçu,GO,Centro-Oeste,0.773069,80.0,8,77.3069,-2.6930999755859375,True
Cruzeiro do Iguaçu,PR,Sul,0.7730739,80.0,6,77.30739,-2.6926116943359375,True
Alambari,SP,Sudeste,0.70218587,72.91,2,70.21859,-2.691410217285153,True
Cruz Alta,RS,Sul,0.584825,61.17,65,58.4825,-2.687501831054689,True
Almadina,BA,Nordeste,0.35539153,38.22,6,35.539154,-2.680845947265624,True
Salto do Lontra,PR,Sul,0.7732019,80.0,19,77.32019,-2.6798095703125,True
Paulo Lopes,SC,Sul,0.63171697,65.85,11,63.171696,-2.6783042907714787,True
Tabocas do Brejo Velho,BA,Nordeste,0.39854386,42.53,13,39.854385,-2.6756146240234386,True
Santa Helena,PR,Sul,0.76649237,79.32,33,76.64924,-2.670761413574212,True
Santa Inês,PB,Nordeste,0.5451321,57.18,3,54.51321,-2.6667897033691403,True
Igrapiúna,BA,Nordeste,0.34716052,37.38,8,34.716053,-2.6639469909667994,True
Angelim,PE,Nordeste,0.62346256,65.01,13,62.346256,-2.6637437438964895,True
Goianésia,GO,Centro-Oeste,0.77158874,79.82,91,77.158875,-2.661125488281243,True
Teofilândia,BA,Nordeste,0.32570457,35.23,15,32.570457,-2.659542541503903,True
Pouso Redondo,SC,Sul,0.6603505,68.69,20,66.03505,-2.6549505615234352,True
Petrópolis,RJ,Sudeste,0.6274654,65.4,254,62.746544,-2.653456115722662,True
Itagimirim,BA,Nordeste,0.37086707,39.74,9,37.086708,-2.6532919311523457,True
Ribeirão,PE,Nordeste,0.6195905,64.61,21,61.959053,-2.650946960449218,True
Ibicaré,SC,Sul,0.73689896,76.34,4,73.689896,-2.650104370117191,True
Mineiros,GO,Centro-Oeste,0.7735352,80.0,94,77.353516,-2.646484375,True
Urupês,SP,Sudeste,0.773596,80.0,3,77.3596,-2.6404037475585938,True
Peritoró,MA,Nordeste,0.58431005,61.07,17,58.431007,-2.638992614746094,True
Caridade do Piauí,PI,Nordeste,0.6186197,64.49,9,61.86197,-2.62803100585937,True
Vilhena,RO,Norte,0.6533501,67.96,130,65.335014,-2.624985656738275,True
Niterói,RJ,Sudeste,0.53947777,56.56,276,53.947777,-2.6122232055664085,True
Barra do Garças,MT,Centro-Oeste,0.6166905,64.28,70,61.669052,-2.6109478759765636,True
Mendes,RJ,Sudeste,0.59345824,61.95,16,59.345825,-2.604174804687503,True
Timbé do Sul,SC,Sul,0.7006096,72.66,6,70.06096,-2.599041137695309,True
Joaquim Távora,PR,Sul,0.7740348,80.0,19,77.40348,-2.5965194702148438,True
Ipuã,SP,Sudeste,0.7494649,77.52,4,74.946495,-2.5735049438476523,True
Abdon Batista,SC,Sul,0.70729655,73.3,3,70.72965,-2.570347595214841,True
Pilão Arcado,BA,Nordeste,0.2855524,31.119999999999997,33,28.55524,-2.564759368896482,True
Porto Real,RJ,Sudeste,0.61405575,63.97,30,61.405575,-2.5644252014160145,True
Balbinos,SP,Sudeste,0.774443,80.0,3,77.4443,-2.5557022094726562,True
Apiaí,SP,Sudeste,0.6773502,70.29,14,67.73502,-2.55497650146485,True
Pariquera-Açu,SP,Sudeste,0.64446723,67.0,13,64.446724,-2.5532760620117188,True
São Bento do Una,PE,Nordeste,0.57344896,59.89,60,57.344894,-2.545105590820313,True
Coronel João Sá,BA,Nordeste,0.3330944,35.85,12,33.30944,-2.5405593872070327,True
Barra,BA,Nordeste,0.3150222,34.04,45,31.50222,-2.5377798461914054,True
Planalto Alegre,SC,Sul,0.77097696,79.63,4,77.097694,-2.532305603027339,True
Andorinha,BA,Nordeste,0.37351826,39.88,8,37.351826,-2.5281742858886744,True
Princesa,SC,Sul,0.77472126,80.0,4,77.47213,-2.5278701782226562,True
Heliópolis,BA,Nordeste,0.3589504,38.42,7,35.895042,-2.524957580566408,True
Anita Garibaldi,SC,Sul,0.65795135,68.32,7,65.795135,-2.524864501953118,True
Balsas,MA,Nordeste,0.43607646,46.11999999999999,107,43.607647,-2.5123530578613185,True
Mangueirinha,PR,Sul,0.7092876,73.44,14,70.92876,-2.5112432861328102,True
Campo Grande,AL,Nordeste,0.53699535,56.21,7,53.699535,-2.510464630126954,True
Alexânia,GO,Centro-Oeste,0.7433122,76.84,43,74.331215,-2.508785095214847,True
Florânia,RN,Nordeste,0.40407023,42.91,5,40.407024,-2.5029756164550747,True
Gameleira,PE,Nordeste,0.5960553,62.1,12,59.605534,-2.494466400146486,True
Lassance,MG,Sudeste,0.7750661,80.0,3,77.50661,-2.4933929443359375,True
América Dourada,BA,Nordeste,0.3667163,39.160000000000004,24,36.67163,-2.4883691406250037,True
Pompéu,MG,Sudeste,0.65132225,67.62,29,65.132225,-2.487774963378911,True
Cipotânea,MG,Sudeste,0.7168725,74.17,9,71.68725,-2.482751770019533,True
Floriano,PI,Nordeste,0.5173773,54.220000000000006,55,51.737732,-2.482268066406256,True
Monte Aprazível,SP,Sudeste,0.720607,74.54,8,72.0607,-2.4793005371093813,True
Atibaia,SP,Sudeste,0.69578546,72.05,80,69.578545,-2.4714553833007784,True
Junqueirópolis,SP,Sudeste,0.7492935,77.4,8,74.92935,-2.4706481933593807,True
Reserva do Iguaçu,PR,Sul,0.75750023,78.22,9,75.75002,-2.469977111816405,True
São Miguel dos Campos,AL,Nordeste,0.52530414,55.0,51,52.530415,-2.469585418701172,True
Não-Me-Toque,RS,Sul,0.6592365,68.38,21,65.92365,-2.456347351074214,True
Ocauçu,SP,Sudeste,0.7755499,80.0,2,77.55499,-2.44500732421875,True
Nipoã,SP,Sudeste,0.7755499,80.0,3,77.55499,-2.44500732421875,True
Braúna,SP,Sudeste,0.7755499,80.0,1,77.55499,-2.44500732421875,True
Goioerê,PR,Sul,0.6955555,72.0,28,69.55555,-2.4444503784179688,True
Lagoinha do Piauí,PI,Nordeste,0.7755684,80.0,1,77.55684,-2.4431610107421875,True
Sertânia,PE,Nordeste,0.6016618,62.599999999999994,34,60.16618,-2.4338203430175724,True
Campo Alegre de Goiás,GO,Centro-Oeste,0.77478516,79.91,9,77.478516,-2.4314843749999966,True
Lagoa dos Três Cantos,RS,Sul,0.6245898,64.89,4,62.45898,-2.431019439697266,True
